id,date,language,username,problemCode,contestCode,result,time,memory
18935154,2018-06-17 23:55:38,C++14,pxux7c,SONYASEG,COOK95A,WA,0.29,16688
18935142,2018-06-17 23:55:32,C++14,teja349,NUMCOMP,COOK95A,AC,0,16064
18935144,2018-06-17 23:55:32,C++14,bitman_123,SONYASEG,COOK95A,WA,0.33,19152
18935141,2018-06-17 23:55:32,C++14,dsingh_24,SONYASEG,COOK95A,WA,0.14,21488
18935140,2018-06-17 23:55:29,C++14,raja1999,SONYASEG,COOK95A,WA,0.2,30984
18935137,2018-06-17 23:55:28,C++14,check1234,DANYANUM,COOK95A,RTE,0.03,110656
18935124,2018-06-17 23:55:13,C++14,mesbah_tanvir,MINIONS,COOK95A,WA,0.11,18368
18935121,2018-06-17 23:55:11,C++14,fenilfadadu,GOODPERM,COOK95A,WA,0,15240
18935101,2018-06-17 23:55:01,C++14,gomu,MINIONS,COOK95A,TLE,1.51,417280
18935084,2018-06-17 23:54:44,C++14,hetshah1998,MINIONS,COOK95A,RTE,0.22,28128
18935060,2018-06-17 23:54:29,C++14,tautsjasiunsas,BTMNTREE,COOK95A,WA,0.38,180224
18935058,2018-06-17 23:54:27,C++14,ucntstopme,NUMCOMP,COOK95A,AC,0,15240
18935051,2018-06-17 23:54:23,C++14,yash_chandnani,SONYASEG,COOK95A,WA,0.15,18656
18935046,2018-06-17 23:54:18,JAVA,siddharthp538,MINIONS,COOK95A,WA,0.89,4575232
18935023,2018-06-17 23:54:03,C++14,check1234,DANYANUM,COOK95A,CTE,0,0
18935015,2018-06-17 23:53:56,C++14,shubham_1428,MINIONS,COOK95A,WA,0.09,29248
18935012,2018-06-17 23:53:55,PYTH,agmohit92,MINIONS,COOK95A,WA,1.82,57704
18934997,2018-06-17 23:53:47,C++14,c0der_ace,DANYANUM,COOK95A,RTE,0.03,25056
18934996,2018-06-17 23:53:46,C++14,rishi_illuri,MINIONS,COOK95A,WA,0.26,17504
18934992,2018-06-17 23:53:44,C++14,fayaz_007,SONYASEG,COOK95A,WA,0.11,21112
18934990,2018-06-17 23:53:41,C++14,kristopher,MINIONS,COOK95A,WA,0.08,20424
18934986,2018-06-17 23:53:39,C++14,ptnk131627,BTMNTREE,COOK95A,WA,0.29,108288
18934981,2018-06-17 23:53:36,C++14,vsp4,DANYANUM,COOK95A,WA,0.03,67648
18934977,2018-06-17 23:53:29,C++14,jadebelk,GOODPERM,COOK95A,TLE,1.01,20432
18934976,2018-06-17 23:53:27,C++14,arsh99,DANYANUM,COOK95A,TLE,2.01,16064
18934968,2018-06-17 23:53:24,C++14,peacemaro,SONYASEG,COOK95A,WA,0.23,41928
18934969,2018-06-17 23:53:24,C++14,ucntstopme,NUMCOMP,COOK95A,WA,0,15240
18934966,2018-06-17 23:53:22,C++14,herambpatil98,MINIONS,COOK95A,WA,0.31,37416
18934961,2018-06-17 23:53:18,C++14,ftasb1,MINIONS,COOK95A,WA,0.09,17760
18934954,2018-06-17 23:53:11,JAVA,baz__,SONYASEG,COOK95A,WA,1.72,4640768
18934946,2018-06-17 23:53:07,C++14,himkha_100,GOODPERM,COOK95A,AC,0.07,15240
18934927,2018-06-17 23:52:52,C++14,tanuj_drall,MINIONS,COOK95A,WA,0.63,27392
18934925,2018-06-17 23:52:51,C++14,ankit_gupta_,MINIONS,COOK95A,WA,0.27,15248
18934924,2018-06-17 23:52:50,C++14,tasmeemreza,GOODPERM,COOK95A,AC,0.01,16064
18934918,2018-06-17 23:52:43,C++14,peacemaro,SONYASEG,COOK95A,CTE,0,0
18934916,2018-06-17 23:52:42,C++14,c0der_ace,DANYANUM,COOK95A,RTE,0.04,25288
18934909,2018-06-17 23:52:35,C++14,raja1999,SONYASEG,COOK95A,WA,0.15,19264
18934900,2018-06-17 23:52:31,C++14,praveenkumar12,SONYASEG,COOK95A,RTE,0.75,81408
18934899,2018-06-17 23:52:30,C++14,check1234,DANYANUM,COOK95A,RTE,0.04,109120
18934893,2018-06-17 23:52:24,C++14,vishal_125,MINIONS,COOK95A,TLE,1.51,17296
18934894,2018-06-17 23:52:24,C++14,bitman_123,SONYASEG,COOK95A,TLE,1.01,62224
18934882,2018-06-17 23:52:17,C++14,rishabh3538,MINIONS,COOK95A,WA,0.12,24656
18934871,2018-06-17 23:52:07,C++14,peacemaro,SONYASEG,COOK95A,WA,0.22,41928
18934856,2018-06-17 23:51:55,PAS fpc,georgekp,MINIONS,COOK95A,WA,0.16,28992
18934845,2018-06-17 23:51:51,C++14,goyalanubhav11,NUMCOMP,COOK95A,AC,0,15240
18934846,2018-06-17 23:51:51,C++14,ohm123,MINIONS,COOK95A,WA,0.26,30192
18934838,2018-06-17 23:51:45,C++14,vivek_rathi_53,GOODPERM,COOK95A,WA,0.03,15240
18934837,2018-06-17 23:51:45,C++14,jtnydv25,BTMNTREE,COOK95A,AC,1.4,123520
18934834,2018-06-17 23:51:43,C++14,abdullah768,SONYASEG,COOK95A,WA,0.39,39376
18934823,2018-06-17 23:51:32,C++14,uchicha_itachi,SONYASEG,COOK95A,WA,0.2,23056
18934821,2018-06-17 23:51:31,C++14,stellet_212,GOODPERM,COOK95A,AC,0.1,16064
18934813,2018-06-17 23:51:26,JAVA,xodiac,SONYASEG,COOK95A,RTE,0.77,4575232
18934814,2018-06-17 23:51:26,C++14,nirock123,MINIONS,COOK95A,TLE,1.51,957440
18934804,2018-06-17 23:51:16,C++14,rajas_iitg,MINIONS,COOK95A,WA,0.09,15368
18934797,2018-06-17 23:51:09,C++14,praveenkumar12,SONYASEG,COOK95A,RTE,0.91,146048
18934793,2018-06-17 23:51:07,C++14,nirjhor,MINIONS,COOK95A,AC,0.27,28568
18934790,2018-06-17 23:51:04,C++14,anay1,MINIONS,COOK95A,WA,0.14,37120
18934789,2018-06-17 23:51:03,C++14,fsouza,DANYANUM,COOK95A,AC,1.41,16064
18934787,2018-06-17 23:51:02,C++14,manthanchauhan,GOODPERM,COOK95A,WA,0,16064
18934775,2018-06-17 23:50:52,C++14,abhisheksaini1,DANYANUM,COOK95A,WA,0.14,24120
18934773,2018-06-17 23:50:50,C++14,vishal_125,MINIONS,COOK95A,WA,0.11,20424
18934761,2018-06-17 23:50:40,PYTH 3.5,chintanr11,MINIONS,COOK95A,TLE,7.51,65016
18934762,2018-06-17 23:50:40,C++14,chpipis,MINIONS,COOK95A,AC,0.64,47000
18934746,2018-06-17 23:50:28,C++14,hitesh_001,MINIONS,COOK95A,WA,0.06,19800
18934745,2018-06-17 23:50:26,C++14,vishal_nnd0,MINIONS,COOK95A,TLE,1.51,41432
18934744,2018-06-17 23:50:24,C++14,vivek_rathi_53,GOODPERM,COOK95A,WA,0.03,16064
18934734,2018-06-17 23:50:15,C++14,user28040,MINIONS,COOK95A,WA,0.53,32800
18934726,2018-06-17 23:50:11,C++14,tautsjasiunsas,BTMNTREE,COOK95A,WA,0.38,180224
18934725,2018-06-17 23:50:11,C++14,ad_6398,MINIONS,COOK95A,AC,0.58,55992
18934720,2018-06-17 23:50:09,C++14,viralivora,GOODPERM,COOK95A,TLE,1.01,16168
18934714,2018-06-17 23:50:01,C++14,swapnil159,MINIONS,COOK95A,WA,0.2,36048
18934712,2018-06-17 23:50:00,C++14,praveenkumar12,SONYASEG,COOK95A,RTE,0.75,245888
18934711,2018-06-17 23:49:59,C++14,rishi_07,MINIONS,COOK95A,AC,1.44,77568
18934706,2018-06-17 23:49:51,C++14,tasmeemreza,SONYASEG,COOK95A,AC,0.9,50120
18934698,2018-06-17 23:49:48,C++14,shashwat_garg,MINIONS,COOK95A,WA,0.11,19192
18934696,2018-06-17 23:49:47,C++14,vivek_rathi_53,GOODPERM,COOK95A,WA,0.03,16064
18934695,2018-06-17 23:49:46,C++14,geniusclone,MINIONS,COOK95A,WA,0.33,44040
18934691,2018-06-17 23:49:44,C++14,herambpatil98,MINIONS,COOK95A,WA,0.36,36384
18934690,2018-06-17 23:49:43,C++14,raghavtripat,MINIONS,COOK95A,WA,0.42,25152
18934681,2018-06-17 23:49:36,C++14,abhishekk781,MINIONS,COOK95A,AC,0.69,52824
18934672,2018-06-17 23:49:31,C++14,filyan,DANYANUM,COOK95A,AC,0.81,21976
18934669,2018-06-17 23:49:28,C++14,rajas_iitg,MINIONS,COOK95A,WA,0.09,15360
